Id,Zarea
Id_1,-14.094693969116125
Id_2,-46.48795793349788
Id_3,-62.1545621379601
Id_4,-62.11801231169147
Id_5,-46.4882899505056
Id_6,5.201834425957049
Id_7,-59.696273470586135
Id_8,-13.46336016543594
Id_9,-60.97303251175292
Id_10,-29.601990482216426
Id_11,-16.42732941462695
Id_12,-72.3337849322978
Id_13,-62.04855504835713
Id_14,-28.309341758844557
Id_15,-67.19417003169976
Id_16,-46.487957894853466
Id_17,-1.4632038132800211
Id_18,-43.837112376739555
Id_19,14.218346186980622
Id_20,-29.601932786891442
Id_21,-43.429632572640074
Id_22,23.437473768454968
Id_23,-60.96459078111552
Id_24,-77.92474991373386
Id_25,-60.96272650157131
Id_26,-36.256309334410744
Id_27,-77.92474972935021
Id_28,13.339887063413105
Id_29,-29.60192809676737
Id_30,-12.421918828720255
Id_31,-59.560560398527386
Id_32,26.342786133364253
Id_33,42.84185247910584
Id_34,-14.13128198484824
Id_35,-8.55211866286312
Id_36,-21.606094673568567
Id_37,-33.92261752281361
Id_38,-59.560560398527386
Id_39,-14.993724875846805
Id_40,-29.60363417563396
Id_41,-33.0598863274933
Id_42,-56.4776204423428
Id_43,-62.15456213796031
Id_44,-29.601877664648246
Id_45,-45.31438471116462
Id_46,23.437473768454968
Id_47,-46.487940664652555
Id_48,-61.77232827052056
Id_49,-60.963288244659154
Id_50,-57.33626574042724
Id_51,-29.82057525436092
Id_52,-61.17358175859212
Id_53,-17.469391296057257
Id_54,-17.469391296057257
Id_55,26.251753376330097
Id_56,-46.48795795344398
Id_57,-46.75817098229396
Id_58,-44.078564484535576
Id_59,13.744619970044642
Id_60,-18.423576884080266
Id_61,-29.601834042102045
Id_62,-55.70688479148777
Id_63,-29.601933911769795
Id_64,-60.37654336398454
Id_65,-41.04928970386321
Id_66,-38.59016606629068
Id_67,-72.48813036093368
