Id,area
Id_1,4.31829999999999
Id_2,2.1495
Id_3,5.566575
Id_4,7.54275
Id_5,18.27535
Id_6,4.168275
Id_7,5.3342
Id_8,11.7428
Id_9,7.852325
Id_10,8.86615
Id_11,19.6195
Id_12,0
Id_13,4.52225000000001
Id_14,8.22175
Id_15,2.20605
Id_16,2.0872
Id_17,72.6961500000002
Id_18,4.82135000000001
Id_19,1.78295
Id_20,11.73925
Id_21,38.7222
Id_22,19.94
Id_23,4.6598
Id_24,5.20535000000001
Id_25,6.38020000000001
Id_26,3.880425
Id_27,4.21945
Id_28,7.48622500000001
Id_29,5.42745
Id_30,14.52535
Id_31,4.76970000000001
Id_32,14.3208
Id_33,2.30925
Id_34,5.35585
Id_35,54.3241
Id_36,41.100025
Id_37,2.2975
Id_38,4.76970000000001
Id_39,3.1252
Id_40,7.4319
Id_41,0
Id_42,2.52027499999999
Id_43,3.48831666666667
Id_44,19.5507
Id_45,6.8233
Id_46,19.94
Id_47,3.412125
Id_48,3.5093
Id_49,4.197325
Id_50,1.69
Id_51,7.7531
Id_52,3.02835
Id_53,7.60995000000001
Id_54,7.60995000000001
Id_55,3.0246
Id_56,1.4076
Id_57,34.533425
Id_58,3.7191
Id_59,6.17285
Id_60,11.9443
Id_61,6.68235
Id_62,5.018725
Id_63,8.96313333333333
Id_64,0.8937
Id_65,2.7785
Id_66,2.730825
Id_67,10.56645
