Id,area
Id_1,3.71395
Id_2,4.0893
Id_3,6.40315
Id_4,7.4013
Id_5,14.8833
Id_6,5.946
Id_7,5.5861
Id_8,14.0309
Id_9,10.9725
Id_10,3.5449
Id_11,19.5674
Id_12,0
Id_13,2.942
Id_14,6.8417
Id_15,1.8401
Id_16,4.731
Id_17,65.6632000000001
Id_18,8.28270000000001
Id_19,2.1641
Id_20,11.6328
Id_21,55.6928
Id_22,19.94
Id_23,5.1911
Id_24,6.5343
Id_25,6.16150000000001
Id_26,2.41965
Id_27,3.6006
Id_28,9.50020000000001
Id_29,6.3799
Id_30,11.1504
Id_31,12.8572
Id_32,16.8676
Id_33,3.3258
Id_34,4.5288
Id_35,26.1496
Id_36,4.0379
Id_37,1.9124
Id_38,12.8572
Id_39,6.7233
Id_40,22.9556
Id_41,31.1193
Id_42,7.00400000000001
Id_43,7.56545000000001
Id_44,26.5132
Id_45,11.5774
Id_46,19.94
Id_47,2.36345
Id_48,5.0801
Id_49,12.0876
Id_50,1.69
Id_51,8.4739
Id_52,4.2343
Id_53,5.8941
Id_54,5.8941
Id_55,2.8933
Id_56,1.1083
Id_57,25.5943
Id_58,3.6947
Id_59,9.71970000000001
Id_60,17.9784
Id_61,4.7865
Id_62,5.1942
Id_63,10.1142
Id_64,2.2984
Id_65,1.7278
Id_66,2.196
Id_67,20.7927
