Id,Zarea
Id_1,6.866999999999999
Id_2,1.3050000000000002
Id_3,5.163
Id_4,2.3609999999999998
Id_5,0.288
Id_6,7.414
Id_7,20.785999999999998
Id_8,14.258999999999997
Id_9,16.494
Id_10,3.4979999999999998
Id_11,19.243000000000002
Id_12,0.0
Id_13,2.354
Id_14,8.639
Id_15,3.904
Id_16,0.8809999999999999
Id_17,48.212
Id_18,3.63
Id_19,0.638
Id_20,30.586000000000002
Id_21,50.279999999999994
Id_22,19.94
Id_23,10.155
Id_24,1.073
Id_25,4.752000000000001
Id_26,3.2359999999999998
Id_27,2.338
Id_28,12.469999999999999
Id_29,1.1800000000000002
Id_30,12.977
Id_31,8.091999999999999
Id_32,11.020999999999999
Id_33,7.0920000000000005
Id_34,6.601999999999999
Id_35,38.492999999999995
Id_36,49.292
Id_37,1.72
Id_38,8.091999999999999
Id_39,5.371
Id_40,3.3950000000000005
Id_41,0.0
Id_42,1.9100000000000001
Id_43,9.2025
Id_44,3.5810000000000004
Id_45,5.9479999999999995
Id_46,19.94
Id_47,0.7230000000000001
Id_48,0.48599999999999993
Id_49,4.071
Id_50,1.69
Id_51,6.427
Id_52,1.123
Id_53,1.9920000000000002
Id_54,1.9920000000000002
Id_55,2.535
Id_56,0.29300000000000004
Id_57,23.696
Id_58,4.297
Id_59,6.6659999999999995
Id_60,22.892000000000003
Id_61,3.1679999999999997
Id_62,2.71
Id_63,1.359
Id_64,2.79
Id_65,5.4239999999999995
Id_66,0.0
Id_67,12.292999999999997
