Id,Run1 (ms),Run2 (ms),Run3 (ms),Run4 (ms)
Id_1,230.47216559099633,133.2045200031028,213.94221470859182,170.80550375490148
Id_2,270.43702411119773,303.25746760541176,280.075167101632,277.5102528384181
Id_3,188.85235595804903,177.9012207690864,192.26778676073482,198.53510370747685
Id_4,190.97273431085108,179.7665800223948,202.962796130335,183.25387826471166
Id_5,199.35820637268955,183.18288594220763,192.112142784289,178.01736369068044
Id_6,263.2362590865046,283.2956752465312,279.0892051629652,289.18014009862276
Id_7,261.6144082681978,279.3615194045321,278.5006671496018,289.2071908089504
Id_8,190.98801615898338,185.9108591823837,201.53923934267016,192.59794267116024
Id_9,245.47463124868995,247.4137756099327,226.58925905562853,238.14925670445
Id_10,256.92665438633406,272.82533293000023,279.2901592241449,294.27120381008996
Id_11,233.1914528125679,235.5896945208493,218.7397682926165,218.15425354443744
Id_12,188.4060253848919,170.91716782255858,198.5090664458742,175.3644836290825
Id_13,255.29009398527916,268.9024149710932,278.4300302621762,293.74567681511854
Id_14,189.19000857927966,184.48008232279008,205.3672698174572,195.39914648245858
Id_15,188.66411337755972,187.7330306339295,198.44516068330552,180.92597502573057
Id_16,209.6328758360097,204.81624335758718,214.61461734798968,192.104233661113
Id_17,186.7389931236509,181.1024129230455,200.10218531784201,178.3015342377817
Id_18,186.4417837223653,194.614504148466,173.29600679152196,181.87933789155812
Id_19,188.0422428869204,191.25908298949514,198.59612974698146,183.12995536825537
Id_20,186.88886716548535,184.54141342789416,201.63133779901028,183.7726777312261
Id_21,166.93563920239234,184.38883820748015,181.74337279596276,190.8299115616877
Id_22,195.82392691732582,175.9836242150435,165.24245517046705,177.6225384359502
Id_23,168.46069561133658,174.73535163099956,192.49895699165918,200.7658400044205
Id_24,163.91957199980783,164.1386703918306,173.26145874715627,180.73039717351827
Id_25,190.39071900389393,179.62282079064153,155.1034427116194,177.9891500763819
Id_26,182.95932726945807,193.82975633199987,207.28374759624415,183.16901219698232
Id_27,277.50287619566984,293.87859861300365,275.52903101249143,275.41411996531076
Id_28,192.65720924232522,203.71040708555591,204.15996060631548,199.12045883997976
Id_29,181.86010440283764,198.10019667490047,191.03727834934344,188.4876878736306
Id_30,185.21405542578998,202.88138319833737,200.70113686082195,189.7619334441551
Id_31,184.21454691924998,196.47128686434112,201.45712594842726,190.08092183805323
Id_32,189.80182380988794,211.47638516451923,203.0593922777559,187.42003092916258
Id_33,192.69546526007133,212.98665295313012,203.95003043591893,202.30157271806328
Id_34,211.5800828036318,220.24554003526157,219.41743438430657,217.74045569182292
